year,place,type
2024,電力相關,kcg
2023,電力相關,kcg
2023,路燈故障,kcg
2023,道路不平,kcg
2023,道路不平,kcg
2023,道路不平,kcg
2023,髒亂、噪音、空汙,kcg
2023,髒亂、噪音、空汙,kcg
2023,交通號誌,kcg
2023,路燈故障,kcg
2023,路燈故障,kcg
2022,髒亂、噪音、空汙,kcg
2022,路燈故障,kcg
2022,道路不平,kcg
2022,髒亂、噪音、空汙,kcg
2022,髒亂、噪音、空汙,kcg
2022,髒亂、噪音、空汙,kcg
2022,髒亂、噪音、空汙,kcg
2022,髒亂、噪音、空汙,kcg
2022,電力相關,kcg
2022,電力相關,kcg
2022,路燈故障,kcg
2021,道路不平,kcg
2021,道路不平,kcg
2021,髒亂、噪音、空汙,kcg
2021,道路不平,kcg
2021,路燈故障,kcg
2021,交通號誌,kcg
2020,髒亂、噪音、空汙,kcg
2020,髒亂、噪音、空汙,kcg
2020,路燈故障,kcg
2020,髒亂、噪音、空汙,kcg
2020,髒亂、噪音、空汙,kcg
2020,交通違規、路霸,kcg
2020,交通號誌,kcg
2020,積水、汙水管,kcg
2020,動物保護,kcg
2020,道路不平,kcg
2020,髒亂、噪音、空汙,kcg
2020,髒亂、噪音、空汙,kcg
2020,公園、路樹、人行道,kcg
2019,路燈故障,kcg
2019,道路不平,kcg
2019,路燈故障,kcg
2019,公園、路樹、人行道,kcg
2019,公園、路樹、人行道,kcg
2019,公園、路樹、人行道,kcg
2019,公園、路樹、人行道,kcg
2019,髒亂、噪音、空汙,kcg
2019,公園、路樹、人行道,kcg
2019,髒亂、噪音、空汙,kcg
2019,道路不平,kcg
2019,公園、路樹、人行道,kcg
2019,路燈故障,kcg
2018,路燈故障,kcg
2018,公園、路樹、人行道,kcg
2018,髒亂、噪音、空汙,kcg
2018,路燈故障,kcg
2018,道路不平,kcg
2018,公園、路樹、人行道,kcg
2018,積水、汙水管,kcg
2018,路燈故障,kcg
2018,髒亂、噪音、空汙,kcg
2018,髒亂、噪音、空汙,kcg
2018,髒亂、噪音、空汙,kcg
2018,髒亂、噪音、空汙,kcg
2018,髒亂、噪音、空汙,kcg
2018,髒亂、噪音、空汙,kcg
2018,髒亂、噪音、空汙,kcg
2018,路燈故障,kcg
2017,路燈故障,kcg
2017,髒亂、噪音、空汙,kcg
2017,交通號誌,kcg
2017,髒亂、噪音、空汙,kcg
2017,公園、路樹、人行道,kcg
2017,髒亂、噪音、空汙,kcg
2017,交通違規、路霸,kcg
2017,交通違規、路霸,kcg
2017,路燈故障,kcg
